"gender","nationality","program_type","current_course_confidence_level","cgpa","financial_stress","source_of_financial_stress","source_of_income","house_expenditure","other_expenditure"
"M","D","DP",4,3,"N","NE","SI, S, PFJ",1,1
"M","D","DF",4,4,"Y","FD, RE","SI, FS",2,1
"M","I","RF",4,5,"Y","TP, RE, TE","FS",3,4
"F","I","DF",3,4,"Y","ME, RE, TE","FS",3,3
"F","I","RF",1,3,"Y","ME, TP, FD, RE, TE","FS",2,1
"F","I","RF",3,1,"Y","RE, TE","FS",4,3
"F","I","RF",4,3,"Y","TP, RE, TE","FS",6,5
"M","I","RF",1,4,"Y","TP, FD","FS",3,2
"M","I","RF",4,2,"Y","TP, FD, RE, TE","FS",2,2
"F","I","DF",3,5,"Y","SS, TP, RE, TE","FS",3,2
"M","I","RF",4,4,"Y","TP, FD, RE, TE","FS",3,3
"F","I","RF",4,5,"Y","RE, TE","PFJ, FS",4,2
"M","I","DF",4,4,"N","SS, TP, RE, TE","FS",4,3
"M","I","DF",3,4,"N","NE","FS",3,3
"M","I","RF",2,3,"N","NE","FS",6,3
"M","I","RF",4,2,"Y","FD, RE, TE","SI, FS",2,1
"M","I","DF",2,2,"Y","RE","PFJ",2,3
"M","I","DF",1,3,"N","SS, ME, TP","FS",3,2
"M","D","RF",4,5,"N","NE","S, FS",7,5
"F","D","RF",3,3,"N","NE","PFJ, FS",2,2
"M","I","DF",3,3,"Y","RE, TE","FS",5,3
"M","D","DF",4,4,"Y","FD, RE, TE","SI, S, PFJ, FS",2,1
"M","D","RF",3,3,"Y","FD, RE, TE","FS",2,1
"M","I","DF",3,4,"N","NE","FS",3,3
"F","I","DF",4,5,"Y","RE, TE","PFJ, FS",4,2
"F","D","RF",3,4,"N","NE","FS",1,1
"M","I","RF",3,4,"Y","FD, RE","FS",4,2
"M","I","RF",3,4,"Y","SS, ME, TP, FD, RE, TE","PFJ, FS",2,2
"F","I","DF",3,5,"Y","FD, RE, TE","FS",3,1
"F","D","DF",2,3,"N","NE","SI, FS",3,3
"M","I","DF",4,5,"Y","SS, FD, TE","SI, FS",4,1
"M","D","DF",4,3,"N","NE","FS",6,5
"F","I","RF",3,5,"Y","FD, RE, TE","FS",2,1
"M","I","DF",3,3,"N","NE","FS",5,1
"M","D","RF",3,3,"Y","TP, FD, RE, TE","SI, FS",2,2
"M","I","RF",4,3,"Y","SS, TP, FD, RE, TE","PFJ, FS",2,2
"F","D","RF",4,3,"Y","SS, TP, TE","PFJ, FS",1,1
"M","D","RF",4,5,"Y","SS, FD, RE, TE","FS",3,1
"F","I","RF",3,3,"Y","EL","FS",3,1
"F","I","DF",3,3,"Y","TP, TE","PFJ, FS",3,2
"M","I","DF",5,5,"Y","SS, ME, TP, FD, RE, TE","SI, S, PFJ, FS",7,5
"M","I","DF",3,5,"Y","TE","FS",6,5
"F","I","RF",4,4,"N","NE","FS",7,4
"F","I","DP",2,3,"Y","FD","S",7,3
"F","I","RF",3,5,"Y","RE, TE","FS",4,3
"M","I","RF",4,2,"N","TE","FS",2,3
"F","I","DF",3,4,"Y","TE","FS",2,2
"F","D","RF",4,2,"Y","FD, RE, TE","PFJ, FS",2,1
